,transcr_targets
AKT1,"EZH2,MYC,PIAS2,STAT1,SKI,PPP1CA,DNMT1,GSK3A,GADD45A,CDKN1A,PTPN1,CREB1,SP1,TCF3,STAT3,MDM4,FOXO3,TRRAP,CHEK1,CHUK,PPARGC1B,BRCA1,KAT6A,PPP2R1A,TP53,YAP1,GTF2F1,BCL3,SMAD3,EGR1,CDK2,CSNK2A1,RPS3,HTT,MAPKAPK2,H3F3A,MAPK1,IKBKB,HIST1H3A,RARA,GSK3B,NR3C1,TOPBP1,JUN,FOSL2,NCOR1,FOS,PHB,FOXO1,EGFR,AKT1,YBX1,MXD1,SMAD4,SIRT6,PTEN,KDM5A,JUNB,BCL6"
MARK2,"HDAC5,PHF1,HDAC7,HDAC4,GSK3B"
MAP3K8,"MAPK3,CREB1,MAP2K1,CALM1,HSPA1A,NPM1,PIM1,HSPA8,MAPK1,CHEK1,PLK1,CDK1,HSP90AA1,RPS6KA1"
SGK2,GSK3B
PTK7,DDB1
PKBGAMMA,"NFKB1,FOXO1,GSK3B,FOXO3,PTEN,CHUK,GSK3A,RELA,CDKN1A"
PRKCQ,"SIRT2,IKBKB,CHUK,HIST1H3A"
BMX,"TP53,PIM1"
ABL2,"EGFR,CEBPB,ERBB2"
BRAF,"SMARCA2,MAP2K1"
PDK-1,"MAP2K1,AKT1,RPS6KA1,PRKCD"
MAP3K7,"HIST1H4A,SMURF1,RPS3,SMARCA5,SMAD3,DDX17,SQSTM1,HDAC5,CALM1,RUVBL2,HSPA1A,E2F4,HDAC7,HSPA8,IKBKB,HDAC4,TUBB,HSP90AA1,HNRNPU,E2F1"
PDK1,AKT1
CK1ALPHA,"JUN,ATM,NFKB1,FOS,MDM4,CDH1,NFATC1,GSK3A,RB1,GSK3B,TP53"
TAF1,"TAF7,TP53"
FES,JAK1
AKT2,"AES,HIST1H3A,CHUK,GSK3B,PTPN1"
NEK6,"CDK7,STAT3,RBL2"
BLK,"CBL,EGFR,ERBB2"
CSK,"CBL,EGFR,PML,LYN"
PRKCB,"MAPK9,GSK3A,CDK1,STAT3,RUNX1,PRKCA,BHLHE40,CCNA2,BRCA1,ATF2,TP53,CCND1,EGR1,CAV1,NFKBIA,HIST1H3A,ASXL1,GSK3B,SMAD7,JUN,CDH1,AKT1,PTEN,JUNB,JUND,CDKN1A"
STK4,"FOXO3,NFKBIA,H2AFX"
PKBBETA,"NFKB1,FOXO1,GSK3B,FOXO3,AKT1,PTEN,CHUK,GSK3A,RELA,CDKN1A"
MAPK10,"JUN,EGR1,FOS,EGFR,MYC,BHLHE40,NFATC1,JUNB,CDKN1A"
MAP3K5,"IKBKE,DAXX,CDKN1A,MAPK8"
KIT,"CBL,LYN,STAT3"
TRIB3,MAP2K1
CAMK4,"PHB2,CREB1,RELA,HDAC5"
PKR,"IRF7,STAT3,NFKB1,NPM1,STAT1,NFKBIA,IKBKB,CHUK,PPP1CA,JAK1,HSP90AA1,TP53"
ERCC3,CDK7
CK1-A,FOXO1
CDC42BPB,CDK16
EPHB3,"SMARCA4,FZR1"
EPHA2,"CBL,LYN"
CDK13,"POLR2A,KAT6A,HUWE1"
SYK,"PRKCA,CBL,NRIP1,TUBA1A"
CSF1R,LYN
GSK3ALPHA,"JUN,CCND1,BCL3,NFKB1,FOXO1,CDH1,AKT1,FOXO3,MYC,SREBF1,PTEN,PARP1,GSK3A,GSK3B,TP53"
HIPK4,TP53
PKABETA,CREB1
CHEK1,"EZH2,TOP2A,TRIM28,MYC,TAF6,SPEN,E2F1,CDK1,TUBB,PLK1,NELFE,MDM4,H2AFX,MYBBP1A,TP53BP1,CHEK1,CCNA2,BRCA1,TP53,FANCD2,MAP2K1,CTR9,E2F4,CSNK2B,H3F3A,XRCC6,SKP2,HIST1H3A,RB1,TOPBP1,MED1,SIN3A,NFKB1,FOS,YBX1,E2F6,FOXM1,CCNE1,TFDP1,CDKN1A"
TTN,SQSTM1
RPS6KA3,"MAPK3,TOP2A,SP2,IER3,MYC,RBL2,STAT1,GSK3A,GADD45A,ERBB2,CDK1,TUBB,KHDRBS1,PLK1,CREB1,STAT3,FOXO3,TOP2B,ID2,KAT2B,BHLHE40,TRRAP,CHUK,CCNA2,PRKDC,TP53,NCOR2,RPS6KA1,HMGA1,CCND1,SMAD3,EGR1,MAPKAPK2,CSNK2B,NFKBIA,HIST1H3A,GSK3B,TCF20,SMAD7,JUN,SIN3A,FOS,CDH1,EGFR,YBX1,CTCF,PTEN,KPNA4,JUNB,JUND,CDKN1A"
PRKD1,"JUN,CREB1,SNAI1,EGFR,AKT1,HDAC5,HDAC7,TFAP2A"
VRK2,TP53
LMTK2,PPP1CA
SIK1,"SREBF1,NCOR2"
FER,"ERBB2,STAT3"
SGK,FOXO3
SCYL1,AES
MAPK9,"TP53,JUN,CCND1,STAT3,FOS,RXRA,EGR1,EGFR,MYC,H2AFX,NFKBIA,BHLHE40,CCNA2,JUNB,ATF2,CDKN1A"
PKC-B,"TOP2A,ATF2"
TRIM24,"TGIF1,TP53BP2,GADD45G,TAF9"
FRK,"BRCA1,PTEN,FOS"
PAK3,"CCND1,MAP2K1,PLK1,CDKN1A,TP53"
STK11,"TP53,SMAD4,PTEN,AES"
