,norm_vec,s_vec
PRDM5,-6.945357987644378e-05,-3.196056559726325e-05
NOL11,-0.001002336495015285,-0.0005194662464150968
HYLS1,0.0003466514824580715,-0.0002074594082410937
TIA1,0.0005096622155947239,0.0003797531871395798
NCKAP1,-0.0006010775649543829,-0.0002651074729405718
ITFG2,7.73341477009648e-05,7.765733810497333e-05
KDM4D,-8.243990080216929e-06,3.518517671042861e-05
AP002387.2,-0.0011141181812885327,-0.0004674261576032228
ANKRD36C,0.0004872062021376717,-9.888328310993159e-06
TMEM123,0.0029494630169150217,0.00016010033320450852
DPH3,-0.0013803448141593688,1.5448155484206409e-06
AP001267.1,-0.00045954693376906735,4.730983665493449e-05
AC092910.3,-0.00031388914392474043,-0.0002506568306118325
SRGAP2B,-5.9181426459687335e-05,-2.7449239085143015e-05
AKTIP,0.00014537443426196738,-0.00013749573855936908
B3GNT9,-7.124512709840718e-05,-2.231430775063673e-05
SNX8,-0.00020862224441869283,0.0008666627539960666
MAP4K3,-0.0011304193598955742,-0.0001036008563206378
ZFP30,-5.190182483285281e-05,-8.605130757327682e-05
ZNF250,0.000358718804113413,5.674986678657698e-05
WASHC1,-0.000733715968238884,-8.499229226109293e-05
RPS25,0.010406656926921018,0.011904515178894515
ACP6,-0.00026880687640088406,3.2201627017650826e-05
ZDHHC7,0.0005207764551483736,-0.00010062119223684707
SLC46A3,3.7879757411452067e-05,0.00013371012288585667
RRN3,0.0005803508158856055,0.00029955160182098015
ZFPM1,-0.0014018332612605112,-0.00019966310341676947
MDK,0.00035648571014653335,0.000698632370152464
GNB1,0.0036641332892582467,0.0015842971606138453
ADGRB2,-7.629254989759233e-05,-6.820791647198192e-05
AARS2,-1.4998527436229111e-05,-5.211315069176692e-05
AJUBA,0.0006561062308561785,0.00017908924073192173
GCC2,0.0012516408387129331,0.00021450520248960143
LRFN4,0.0006271999844415961,0.00013182961686854523
ZNF35,-1.6281484150144758e-05,-0.00015890663784846575
TMEM115,0.000323287761646651,0.0002097771961445146
DPF2,0.00010621707025259838,4.596362723176652e-05
ZNF664,0.0008468479077034488,0.0009114210806666374
EXOC5,0.0001719282959131945,0.0006489230935989359
UCHL1,0.01636070090256761,0.005016792356360178
STK4,0.0009979291631529918,0.0006078408214471446
RPS17,-0.002042073257069429,-0.0010125921062456235
ERGIC2,0.0006846939402003981,0.0010769857282032578
AC015922.4,1.769589541110382e-05,0.00011469669010401171
TDP1,-0.0012728429511251885,-0.00041979146326544633
KLHL23,0.0012829153087015074,4.763365283132175e-05
AC005034.3,-2.2408793799937597e-06,-1.576182121998873e-05
OTX1,-5.023062354433514e-05,-0.00011928945645221198
EIF2B1,-1.525936603450003e-05,-3.7193967117654075e-05
MRPL34,-0.0028843813546654815,-0.0017945957210727217
EEF1AKMT3,-8.216149922903755e-05,-0.00017833515046141276
SLC2A1,0.00025801633187842027,-0.0010353440141022154
GALNT10,0.013416626742765456,0.003920888032093592
B4GALNT1,-4.9888847622688395e-05,-0.000502684953994657
COPZ1,-0.0007046334195444255,-0.000687420617350016
USP39,8.697060426161324e-05,-0.0004499588707055723
MIPEP,-0.0005981280815934969,-0.0002768599560086766
ERGIC3,0.0024434102589806534,0.000375198248018632
ARID3A,0.0005873743030375766,0.0004198434702076643
AL355472.1,2.4369990768645396e-05,-9.496708876469277e-05
MRGBP,-0.0025853166788990896,-0.000549485004641345
ZNF181,9.67975736964985e-05,0.00015407035438364303
PRDX4,-0.005049361813094326,-0.0020731286204036282
MRPL38,-2.8191207071217894e-05,8.50378004018502e-05
AC091729.3,0.0004980224127858169,0.0001976204195826394
PLEKHF2,0.0009709886257464522,0.00013336906856691513
AURKB,-0.0005782295861222443,-0.000597633413718007
GADD45B,0.018854269097892562,0.00866468060224811
AC021054.1,0.00018969707635732797,6.66883500004897e-05
SLC35E2A,0.00032688751882851096,6.028838013403659e-05
CKAP2L,0.0005047275068710906,-0.00020841863407324674
FTX,0.0011027026511950368,0.0003656287946810728
RPL39L,-0.001380372055782206,-0.0030752074947128527
OAS3,9.109229312007783e-05,0.00040625388698477754
FOXN2,0.0002453076503867792,0.0002249518860036972
SPATA5,0.00023270037954650012,-0.00025554709662441703
NFYC,-0.0005797221861314121,-0.0005523757117030224
MEF2D,0.0010385647810944448,0.00016086922732009396
SRC,-0.00010647352195273241,-0.00014061773847878894
IFNGR2,0.00090760926383791,0.00041331317650770787
LAMP1,0.0014844577185985951,0.003046046789331866
NBPF20,-0.00010157564476815907,2.4805853782382792e-05
WWP2,0.0003943775717316303,-4.8444631129136656e-05
TTC17,0.0010059664522094737,0.00017280130385142784
CYB5B,-0.0004530382063450487,-0.0009934626555517115
PLA2R1,3.798886840952002e-05,-2.563427857494871e-05
RAB8B,0.0003524724120355474,0.0003938986441352984
DNAJB4,0.0029098926528930524,0.00012547259894821644
ANKAR,8.771577324414788e-05,-7.275036283348193e-06
TSEN2,-5.753996279900192e-05,-0.00036023824771747075
ILF3,-6.136596023521893e-05,-0.00029454350736360195
B3GNT3,0.00020338489055543598,0.0005629780412525369
