	ABT-869	AG-1296	AG-370	CHIR99021	Doramapimod	Gefitinib	LY364947	Necrostatin-5	PD 0325901	PD 173074	Ruxolitinib	SB-431542	SP 600125	Uninhibited_TNF	Uninhibited_Untreated	Valproic Acid	Y-27632 2HCl
MGAT2	0.0956801255333645	0.119530252212878	0.128775876561257	0.157686060007029	0.231008776693819	0.131706277104873	0.154607313168979	0.148357392109326	0.232931914001537	0.112901060431805	0.129827848109165	0.177857645216317	0.105435142543054	0.111877708692352	0.113139174799432	0.0923898950765103	0.143852479045579
DNAAF2	0.154947966995617	0.150167895191867	0.109072756057561	0.324000565915928	0.168571020210595	0.190722083112246	0.19996266855453	0.20038194209788	0.153296644336455	0.151737945176946	0.226033816762557	0.188687216234428	0.273781095643647	0.168229523974624	0.147782010303404	0.22996473493431	0.208118128015005
POLE2	0.22568596720254	0.162338251244372	0.0682392028094684	0.112257167388206	0.0706571109047603	0.173325072799659	0.0783546755210142	0.16733850585596	0	0.1242282531324	0.142277885248129	0.132423074008223	0.163789349327841	0.103838038479614	0.128646177453311	0.112840896464711	0.0849883663151456
KLHDC2	0.335880481992835	0.300479731354057	0.223748947333073	0.17517554616413	0.1603362783657	0.350564753840658	0.273323147582157	0.297801273958205	0	0.225108037771371	0.324422605315565	0.344469231835358	0.326553871754219	0.371996767966293	0.311617665994721	0.308743146877089	0.311993053361337
NEMF	0.692020099955434	0.642536031975489	0.495883797472056	0.583384509142489	0.890487237306999	0.703404523927189	0.547394399069184	0.679544368947843	0.812570038381436	0.448644391363275	0.557711407571042	0.592679927992878	0.719693884046325	0.682930491143513	0.543868502631688	0.575786472299951	0.64171307773025
AL627171.1	0	0.0154804752505902	0	0.00549644564480389	0	0.0436500838719074	0.00933993668183205	0.0089401469979711	0	0	0.00268482539372293	0.00965381254396147	0	0.0238842669816133	0.0157947820200648	0.0100697610903045	0.00916814693932334
ARF6	0.614354931389466	0.506974562538976	0.423216417014395	0.268858497644412	0.500534760213753	0.512232905948096	0.441100242628079	0.485399830811509	0.522738011617632	0.552241046187234	0.418435723104915	0.412247543757939	0.415321210700755	0.509043863953686	0.506664189608938	0.461415281292002	0.431776970292752
LINC01588	0.320466081178412	0.37646146124187	0.252192436941772	0.137395670687041	0.248439859346591	0.144732133159899	0.125744347767673	0.120205489555709	0.506406036359953	0.0653931662235692	0.135983045219407	0.132778053650861	0.359533310705763	0.214020700514166	0.0995321176143204	0.140378429155248	0.177782413219722
VCPKMT	0.0437506382323239	0.0576979786642421	0.0288472977056783	0.0779940538403729	0.0847345831354211	0.0092266392283082	0.0642253457385673	0.0674884685430269	0	0.0605806603137419	0.0468301593240252	0.0449061688981589	0.0343944305289179	0.0357582948398314	0.0441630465301922	0.0232417438791023	0.0427457168395885
SOS2	0.194895639487884	0.136786110511595	0.200567412390358	0.147348056318904	0.257321852222817	0.179190877129888	0.235962815807528	0.124643589579213	0.497067302912814	0.127660196869206	0.188554377676107	0.169029626327404	0.25753227186229	0.15211921874973	0.202300177986813	0.18777653574243	0.224915768717939
L2HGDH	0.0505992292635214	0.112498056711967	0.0671984510185488	0.137882037772933	0.150686724659132	0.048568682168443	0.078991601449992	0.097109085849881	0	0.0360433873655676	0.0800207449700061	0.0951776715525172	0.117815585675877	0.0775425473242672	0.0806180096021184	0.0788813325632625	0.0807853887482233
ATP5S	0.301273597048056	0.288582742755517	0.218517797542761	0.349635581799646	0.101316616098493	0.353987483006821	0.264641107058598	0.291448615878859	0.45860810973608	0.179967142790484	0.309537814257858	0.354869948346004	0.27018988175956	0.267474878381877	0.335540510710115	0.354635014722653	0.239544181112487
AL359397.2	0	0.00848824378236143	0	0.00662705914730997	0	0.00965679741970373	0.00315622492773823	0.0112120730507179	0	0.0218250070931273	0.00676424672787601	0.00643759110870848	0.0265138669907202	0.00500789771852198	0.00917913130359483	0.00355473022619104	0.00429841856882434
