Antibodies,TrkA_DMSO_10_r1,TrkA_DMSO_10_r2,TrkA_DMSO_10_r3,TrkA_DMSO_45_r1,TrkA_DMSO_45_r2,TrkA_DMSO_45_r3,TrkB_DMSO_10_r1,TrkB_DMSO_10_r2,TrkB_DMSO_10_r3,TrkB_DMSO_45_r1,TrkB_DMSO_45_r2,TrkB_DMSO_45_r3,TrkA_DMSO_10_r4,TrkA_DMSO_10_r5,TrkA_DMSO_10_r6,TrkA_DMSO_45_r4,TrkA_DMSO_45_r5,TrkA_DMSO_45_r6,TrkB_DMSO_10_r4,TrkB_DMSO_10_r5,TrkB_DMSO_10_r6,TrkB_DMSO_45_r4,TrkB_DMSO_45_r5,TrkB_DMSO_45_r6
ErbB-3/Her3/EGFR P Tyr1289,1.5850188220078236,1.04307331078914,1.3752556857047689,1.5698810142629374,1.0773623838125228,1.2819615962571664,2.0051843913485037,1.6921672500822773,1.355021273950069,1.248941069906298,1.08400607422141,0.9638728194328643,1.4050420568450057,1.0225297980420651,1.402269075640929,0.9442611943232827,0.7969864381118575,1.3967984938386009,1.0582630457170095,0.927012991615839,1.2234926606771466,0.7825915590479061,0.6394319077237525,1.5565017678609598
Stat5,1.109540346064241,0.9503923861254314,1.1063856956372409,1.0346692171888847,0.9897387118554355,1.0461912819508496,1.186581637735032,1.0155207074218446,1.0048526063599108,0.9726069168639324,0.8251757736603406,0.8535919335825992,0.9531631397256604,0.975164752084194,0.8753365658684982,0.8161373942759086,0.9547077111766887,1.0203766680947102,1.1041894253796374,1.0432693338032948,0.9759779111571503,0.7882012760566702,0.9174680906071776,1.102032380457565
Stat5  P Tyr694,1.14934212456398,0.9280267240061237,1.2414572875159784,1.188775019724467,1.0678901879717528,1.1333428849669778,1.3395140332878883,1.0510867293595472,1.07812914193438,0.943138970510097,0.7027835825551197,0.7950730245506652,1.0758829186262524,1.0019741009462415,0.9404590325160304,0.8670779592038426,0.9670139116478423,1.056759375598117,1.0028989945390203,0.8874715848602193,0.9035047810620231,0.6562126750922654,0.7994617426554087,1.0503155933677053
EGFR P Tyr1173,1.1391753256559018,1.0221278385708594,1.2755352585727529,1.1281982108089326,1.049934339770195,1.1994317383619237,1.3306817820310421,1.1162873496928736,1.0950993827711772,1.0940506660336482,0.8634608535385865,0.8766375695435804,1.0308211853612184,1.0874780651543048,0.9098313513168215,0.8489601820282607,0.9932100724238896,0.9295630734293349,1.38914228080087,1.1200556133705601,1.2032788842727578,0.9914268895235874,1.4925752601181752,1.3006453849449946
Akt P Thr308,1.9463013772481208,1.6459360861666117,2.2113203272354953,2.2104824469970765,1.997041573848614,2.449424464666918,10.345735723042495,7.3884283310313394,9.286840445863126,8.00535192826678,5.402559229504068,6.884860728525967,1.359172721570403,1.2875172290017123,1.1284253340765877,1.1968995403127392,1.3035416392984094,1.254376858901937,5.533802957763643,4.135615119999011,5.2092560921016915,3.684323400795951,4.4696850475002305,7.345178866779215
Met,1.490174247942337,1.3880309242492692,1.804554207083741,1.4254710644175626,1.5238579148423996,1.72875822177799,4.218409812195338,3.3998221684965757,2.7956856724435557,4.758335192774945,3.3736430112188964,2.9011275373624903,1.2090453830014263,1.217549455093048,0.9936838492570863,0.8772300514285784,0.6867158515695834,1.0708412171007564,1.6161880240830229,0.9438805524645317,3.1492867011647707,1.5999564243230195,1.195373995703743,4.397920469456452
"S6 Ribosomal protein P Ser235,Ser236",1.5636986248731344,1.3718949641667533,1.9215069529199433,3.4914429108962644,3.373154981614484,4.012779626742424,2.2409295766870727,2.0535378863379385,1.865632605402201,11.45658601059958,8.34009280538752,8.43150165459747,1.2232255191693404,1.5983185590885545,1.4800234726297015,1.2561466180605259,1.6933061228373505,1.6637410781396311,2.2298239758911924,1.869707389794664,2.0131383709308177,6.262332584854432,10.641977379076693,12.22171578691603
p44/42 MAPK (ERK1/2),1.1797289988391266,0.9805031514688431,1.375323655792777,1.1603344813722323,1.0431658344055872,1.233871099948726,1.372206686671725,1.2031088274265016,1.2414622693951753,1.2381757006919334,0.9121770606712322,0.9318388207095085,0.9950911544206198,1.0551811349864457,0.9060482993436567,1.0101103425648819,1.1789995063033565,0.9578574766002143,1.1777824585734904,0.9782650950009496,1.0745762276231985,0.9164357816866203,0.9444538807003527,1.4002167436701223
"p44/42 MAPK (ERK1/2) P Thr202/Thr185,Tyr204/Tyr187",4.848076126233882,3.810725877897433,4.913486737935481,4.0991843630192575,3.507983053449245,3.8428384539564466,10.92480600659193,8.326298293888222,9.91091071239941,11.040280624241136,7.789709293573694,9.632117986739342,2.8410733052261183,3.3519414267538803,3.061687547754346,2.049151852861443,2.6579075759951727,2.130750063032011,5.739818912108886,4.967598374475198,5.35305673730709,4.362255797592705,4.9769340538139,6.593422951144419
Src ,1.1413108412807607,0.9301961336234225,1.2429270425538772,1.0362051094977012,0.9522019159237574,1.039632761968147,0.771955267587035,0.6228907627847183,0.6590861913184615,0.6754190074616391,0.48668453230368186,0.5465720031311666,1.094683230549909,1.0649333506780296,0.9367450462105859,0.9459902164109779,1.0268405117336876,0.9317569755187706,0.8773401322834052,0.718426530957163,0.6618612150187476,0.6741605379366438,0.5832067143960472,0.5927910226338
Akt,1.195059392698515,0.9408265881457643,1.2153156598895483,1.0740329634861665,0.9769212614163287,1.0305294044179611,1.0238239350084386,0.915616799211554,0.8585794881455688,0.8740282760682775,0.67133686295654,0.7360614352381318,1.0606934978653693,1.0119298740524358,0.9170895217661761,0.9029927114446713,1.005153794962261,0.9930353550875607,0.8396903831472984,0.764597980169643,0.7790888157311782,0.5969407605178341,0.7511356231414409,0.9266175296962355
Akt P Ser473,1.4124011813550235,1.1966543734122854,1.8330863249198723,1.753095538842259,1.7518533876642406,2.1599146363708597,8.214848569305408,5.664007930288001,8.275581831082068,8.109457198919921,5.3210088323636855,7.93542154309283,1.3503156718238094,1.289361341183302,1.0124838796521336,1.1632928279322594,1.4423548521637792,1.211019903511717,5.5466961607337595,4.561859995963583,4.413252882165673,4.7990577723093475,4.933466578712347,6.087380262811714
beta-actin,1.2944939116735679,0.8961162535541248,1.0862769006264765,1.0805763550156668,1.0233238129645115,1.07103579171019,1.303327667204196,1.2182648499440443,0.947000514051341,1.4007465311291456,0.955815718560869,0.8832345829204286,1.071757083596789,1.1433965812284639,0.9614242719848817,0.8781528156808875,0.9669422368002187,0.8558354835114641,1.1639397792047737,0.8658041472559539,0.9742461508153177,0.8674266291876157,0.913701942205192,1.2950423337699062
NFkB p65 Ser536,1.2442580729612847,0.9801546317901906,1.235272919341827,0.9913202842426929,0.8990130171675706,1.0706663712580664,1.9751879644876555,1.3108649142646789,1.23367442234682,1.2172920778476874,0.7371257660689704,0.7135702040350419,1.0277546474999373,1.0589562129181636,0.8694273597986824,0.7616291227137729,1.0011975226941454,0.9401381974964421,1.118425791518476,0.9711598195654086,1.0577668612136315,0.7678610922899585,0.9403523478516751,1.1173092037608108
cdc25c P Ser216,1.1528375872505272,0.9659378056963468,1.402370052823738,1.2029175149582547,0.954286141789762,1.3928043146932683,1.00078134153565,0.8409615205918692,0.9978405376842763,1.2168698010584977,0.8127808104592854,0.8613053429980178,0.960563487456253,1.1926797329015368,0.9826808933675673,0.90218621420669,1.0975643790798197,1.1165130654255564,1.0679160191526633,1.0218139716306536,1.0439615820732002,0.8569237175154849,1.017103848990672,1.3272649469088162
c-Jun P Ser73,1.3363913615225635,0.9820135969675435,1.4154673135340516,1.36228132945111,1.0221710068585135,1.2221482445325107,1.4370993215464465,1.2996089387541263,1.1835823468133297,2.0010023809086808,1.4091038829576308,1.4449804740248533,0.9249917551941547,0.8940996178987733,1.3040109122619126,0.6836091673566925,0.856130262869263,0.9648471528520323,1.2181079635936292,1.0041310997403603,1.1604355540752638,1.4649615154789717,1.5749800610081277,2.108090496071923
c-Myc,1.2075725870002227,0.9580568580734914,1.2485521344639512,1.1847275549769654,1.0203428215792232,1.22798230251255,1.0959651863712523,0.9276195211279122,0.8752952101883255,1.1736911401103698,0.8589633267500187,0.8202941709189788,1.0668330680961697,1.1263637719673767,0.9018765679277876,0.9600019887958718,1.0556489031495706,0.9209847893329528,1.0542418757030037,0.8840153534779343,1.0517120413025567,0.755064536671779,0.8979927324108424,1.0114973723659653
Rb,1.1628521928716413,1.0232612020058107,1.3039727322359134,1.192306728794464,1.1130011044755097,1.1414862383303472,1.170926970636376,0.9493731894784821,0.9812384493430487,0.89660118435739,0.7346610561532673,0.7951533866334773,1.062450540442675,1.0301308445511543,0.9255993626831623,0.9116634174579552,1.0132281516706143,0.9632704376775283,1.0643138414178588,0.9283359199307643,0.9162091487922526,0.6888466176011471,0.8501445365559073,0.957145739263823
4E-BP1 P Ser65,1.1182036283642578,1.0373890647051616,1.361948901031181,1.144958017588285,1.0493979651801284,1.19827108604372,1.183196874298707,1.1196265276424278,1.2444664658747162,1.0403634310252794,1.0590916210590828,1.2286776514448572,1.0264035134148646,1.302179191642188,0.7776693873022723,1.0398049496118908,1.114578802854083,0.8930357906017665,1.144710610569762,0.9602962020324606,0.8256911192519566,0.951939847105394,0.935518491177526,1.1025625931142613
"4E-BP1 P Thr37,Thr46",1.072193495974336,0.9116240507743313,1.2141988094238538,1.1092349952361615,0.9530899342730565,1.1906122169296218,1.1472257672608754,1.067504327179371,1.1401475967556196,0.8716224326480514,0.9464817456727301,0.8316410988527869,1.0608522965858942,1.0717866227852757,0.8243240116475835,0.9478145539407523,1.0694350953611973,0.8383155325920055,1.1279318419369184,0.9238985657004205,0.9227749516778929,0.8232153953901791,0.8631528432127606,1.090034331001702
beta-Catenin,1.0822750722619197,0.810624985774331,1.132448134718615,1.0539450561980954,1.06728899409458,1.212875912584115,1.0662093097548175,0.9210362920655037,0.9323828977216264,1.1278512814350843,0.8971015988318317,0.90052189986034,0.9118378479323016,1.116897536808166,0.8428663683120867,0.852622081207228,1.1603958979957794,1.0047856125822743,0.9746148308214797,0.8923583288956687,0.9389782184497285,0.8288085621940747,0.9192379399799924,1.1699247625401865
"beta-Catenin P Ser33,Ser37,Thr41",1.1072887247675876,0.9807195265283447,1.3130169786433707,1.2184564137729974,1.1114471527543346,1.344466447043386,1.025870592300227,0.9877680466857849,0.696295250349274,0.943742561368508,0.7785832546138648,1.0953771283061158,0.90960887639325,0.9709914103983059,0.9760507056287075,1.1099803448368188,0.850428799855648,0.5066026117882038,1.1558826092793864,1.0325432512904342,0.8244197735346424,1.0372184805349436,1.1157533118842946,1.0534585959255227
cdc25A,1.923830235891645,1.2358776707659511,2.0447089435333843,1.6328863526446062,1.4689502221770971,1.56205707205984,3.289757917453758,2.713160450512407,3.3381736382993195,2.4991625867259994,3.328115700255383,3.427440124216116,1.3600705643371365,7.972057750994252,1.134671494870061,1.3435413082477288,2.733067293358976,1.3323506557287668,2.2648457530865502,3.5905957741466197,1.8640237437948466,2.1924689482957374,3.9773466307874705,2.381021084839895
PTEN,1.124768005469839,0.9216078971054132,1.2416113040975632,1.0227648007186574,1.2622685371365145,1.0414305862019175,1.0467191596551548,0.8493154783046578,0.9036610108469731,0.899390231617181,0.763623612304941,0.7921062384324172,1.0232736495487709,1.037759377808683,0.9129194488926202,0.875314404260438,1.0569555098809198,0.9805188106430569,1.166242194521995,1.0366806674154911,0.8579453331903545,0.8995944187014561,0.9759292039806792,0.9894916944689717
Tsc-2 (Tuberin) P Thr1462,1.2950162486082248,1.117807006471776,1.5667265162981752,1.634855083465445,1.3318695664562372,1.5568697738303185,1.8403610697302568,1.3600695765093465,1.538425188024928,1.4434590049377443,1.0948771156685664,1.405860899216643,1.2456145177519742,0.8607881483964619,0.9494851274285205,1.0009471052295311,0.9632887896823632,0.9712613267558775,1.5255710722048654,1.3615527152781726,1.2316998788558113,0.6942880269112814,1.4574040701053783,1.4400613840716279
Tsc-2 (Tuberin),1.0380665624830892,1.0180043565411099,1.2116649831810378,1.0749756544709446,1.0181327912391371,1.1097467180023541,1.19107718506199,0.9064709441727621,0.9101977887623985,1.0309125238357886,0.7961114002788809,0.8526436253637821,0.9765344150249925,1.057403578531853,0.8888705319973712,0.9217847025841105,1.0969060032750182,0.8907914752199011,1.182854097341382,1.004461790998255,0.9187871075075084,0.8881923987824767,0.9299440053453019,1.0328284954862492
p70 S6 Kinase P Thr389,1.1208615524073773,0.8655131949835073,1.0510858214877317,1.0305609948649197,0.8828341564276684,1.0838084057230661,1.538817923164742,1.228067434844252,1.2502073451323592,2.1622555953091127,1.676218983989046,1.7150031508935546,1.186637454742807,1.2629258876377292,1.0975872796005244,1.013989110787778,1.204991471637762,1.041107048689547,1.4677642595782625,1.320207810394397,1.2908023454816906,1.4565194547812181,2.234819550787308,2.539795570554157
"PTEN P Ser380,Thr382,Thr383",1.1995653435463955,1.0394691887654843,1.2467680719312628,1.1758419541363951,1.1049852300517298,1.095551703374208,1.1095087387783258,0.8271196903868869,0.8477463134966542,0.9411407523647766,0.7186511249237724,0.7283585415271027,0.9673883298487248,0.8925268077455148,0.8704298514658425,0.8712251655735506,0.9490621324063627,0.8854058714193296,0.9661165172343816,0.8778583903134554,1.0076207592334447,0.7295813770198178,0.9032324594077153,1.1170747867635713
SAPK/JNK (JNK2),1.521273162023853,1.3312800189321539,1.564540980686041,1.4922091124066048,1.192586450614162,1.4297280056887127,1.2825210754141916,0.8687061220467914,1.0269204419855096,1.4175850937006318,0.6813017530756328,0.8631531230364494,1.4030863368698279,1.0438430764305404,1.0663906507748004,1.3329971999748707,1.0441777169462834,0.9809907751649692,1.467530176970882,1.311171038837844,0.758788056931658,1.2795600125717517,1.178318624454378,0.7516943795035508
"p70 S6 Kinase P Thr421,Ser424",1.2429647545460616,0.9528855036864858,1.2683880739490316,1.258149356299,1.191734040102792,1.3225525499988775,1.814789875628842,1.6717172296955087,1.6009679115433542,1.9728697071804329,1.5763363889366397,1.619484654365614,1.229897782090146,1.2465628559857942,1.0951791751345896,1.1090826597797128,1.2726719059293696,1.0851941722047134,1.6187495530193463,1.2834263018199419,1.3667541706409108,1.4890336001896491,1.6264696350486836,2.026760121140239
GSK-3-alpha/beta P Ser21/Ser9,1.28202213105327,1.0806543397373234,1.371154102488115,1.2497258749667783,1.1218339472369476,1.423755103970747,1.8094307021915834,1.3331994478624007,1.6300988813305053,1.6094537760033971,1.1598989896338678,1.3598759272574235,1.0703484208836358,1.047964431260216,0.9840526791001021,0.9816078823392528,1.0720520562383102,1.0919046261101277,1.8404604052183453,1.3486864800848428,1.8696765949654364,1.5788136014726621,1.2323891089378847,2.390790421789156
Stat6 P Tyr641,1.4215034152422432,1.204744085133076,1.623581316021604,1.2281821682396343,1.1256968222914392,1.4109833133813732,2.816924536294348,2.32599702553738,2.1242584720574627,1.8763928802128516,1.5355352531719917,1.4324884400371365,0.9727464815049279,1.0785781139165749,1.2843761149911415,0.8424858793074814,1.0486212300003388,1.0545198095867012,1.9322805491927797,1.8914151172373117,1.451774312904816,1.4744479731127924,1.7290153097808956,1.5809972515778865
p53 P Ser15,1.141995567620203,1.2866204399208088,1.7607103112548477,1.3081513627935482,1.2410815654823495,1.187749989267093,0.9139485757728188,0.7570658351612138,0.9331286880018133,0.7779981962355488,0.7272327797319819,0.8430945610280388,1.3880732921854873,1.584272062721891,1.0153152996027068,0.520036294206239,0.8169177615318955,1.354674062751428,1.541553826183232,1.014765184397716,0.8367358579020125,0.8822442574046275,1.1346402951016747,1.1020191995186075
"p38 MAPK PThr180,Tyr182",1.838535342346334,1.55119608827244,1.6529520073013004,1.5820787512560353,1.1786738505312753,0.9466305168940096,3.3028344019507236,2.5194658740300997,2.976992256634507,3.366014323160647,2.7147718514442936,3.023711258219589,1.5674427980144512,1.964294167688231,1.7444338945487108,1.0889293826587745,1.2918934933229629,1.1715679369097685,10.111165991343551,5.003255979355212,4.804717709908258,6.022818989682493,4.315033526698005,5.48461518416799
p38 MAPK,1.117672644696572,0.9253499619995761,1.1449771219726417,1.1037953620935923,0.9488813390491198,1.0798173097300845,1.112685126602636,0.9038083024004775,0.9263061682372709,0.9726615681620279,0.7406734096890323,0.8028564429289459,1.024032840617457,1.0252619394845552,0.9156180316865352,0.9236500542685944,1.0280259703077679,0.9314409423815377,1.080504430367559,0.856366850889145,0.9304040180843272,0.7885037264862506,0.7958231771857031,1.1278976983737985
mTOR P Ser2448,1.1561394644871983,0.98903321384803,1.1777237257036768,1.084091986987979,1.0033238241226239,1.0530545825385635,1.1873842513358166,0.9047109831698246,0.9025607045528083,1.139133452283689,0.9334400425928194,0.940274201655509,1.068084671976553,1.000343339964818,0.9378736490242273,0.9210732236351868,1.0229498103519779,0.991603301272706,1.0423223752082018,1.0147656248625423,1.1025753519592894,0.8519851671417797,1.0406965131616805,1.2654772500843092
mTOR,1.1942353751086185,0.9389276365511867,1.282130686112058,1.2151137184781424,1.133483346572631,1.1966014106142608,0.8805027153699868,0.7583797855856041,0.8651942001864421,0.8503110159504286,0.6891022778114793,0.7895843855440604,1.0975722383925943,0.9512435361014016,0.8054605634939348,1.2164769624184686,0.734294100573884,0.752679960787167,1.5357353282592705,1.0455445496431601,1.295028169605061,1.206165735865135,1.0187736214245133,1.1142045847964486
